Id,Label,Weight
奥义,奥义,12
叶修,叶修,13940
苏沐橙,苏沐橙,1632
乔一帆,乔一帆,1204
公奈,公奈,4
北斗,北斗,52
解厄大,解厄大,4
吕沉风,吕沉风,264
林柏英,林柏英,272
严歌,严歌,164
吕师,吕师,40
路平,路平,176
伍季,伍季,60
吕沉,吕沉,16
唐柔,唐柔,4372
黄少天,黄少天,1616
唐门,唐门,4
乔一凡,乔一凡,44
齐道,齐道,4
幸福感,幸福感,4
托亚,托亚,84
苏流橙,苏流橙,4
李轩,李轩,24
王杰希,王杰希,1180
高英杰,高英杰,460
肖云,肖云,548
孙翔,孙翔,400
周烨柏,周烨柏,204
柳非,柳非,276
小杰,小杰,32
柳姐,柳姐,4
林子,林子,12
肖奎,肖奎,4
雷鸣,雷鸣,120
布甲,布甲,24
皮甲,皮甲,24
左翼,左翼,4
林子里,林子里,28
宝宝,宝宝,4
陈果,陈果,3508
玄幻,玄幻,4
潘林,潘林,216
杨聪,杨聪,104
贺铭,贺铭,36
李老,李老,4
李艺博,李艺博,236
陈慕,陈慕,16
张无忌,张无忌,4
安逸,安逸,4
张望,张望,8
齐聚,齐聚,16
张罗,张罗,24
张罗来,张罗来,4
寒潭,寒潭,12
格槽边,格槽边,4
蓝绿,蓝绿,20
紫铜,紫铜,8
冷汗,冷汗,4
宁可死,宁可死,4
地爽,地爽,4
栗木,栗木,12
辛勤,辛勤,4
高英击,高英击,4
钟声,钟声,8
小白,小白,52
小楚,小楚,4
小姐,小姐,28
公德心,公德心,4
武强,武强,12
叶井,叶井,8
叶哥,叶哥,48
别蒙,别蒙,4
马虎,马虎,4
练花掌,练花掌,4
钭步,钭步,4
宝贵,宝贵,16
通知书,通知书,4
韩文清,韩文清,84
许斌,许斌,52
潘林挺,潘林挺,4
寻常路,寻常路,4
陈夜辉,陈夜辉,588
刘皓,刘皓,1352
大了些,大了些,8
美玉,美玉,4
小唐,小唐,52
修正,修正,8
齐齐发,齐齐发,4
杰希,杰希,24
上一飞,上一飞,4
平飞,平飞,4
天上飞,天上飞,4
里少,里少,4
易春老,易春老,4
仲伯,仲伯,4
老蓝,老蓝,16
望天,望天,4
荣幸,荣幸,8
卡后,卡后,12
叶大神,叶大神,24
蓝加,蓝加,4
大家庭,大家庭,4
方杰,方杰,12
双循环,双循环,4
白光剑,白光剑,4
白光,白光,4
解夜辉,解夜辉,4
塞进,塞进,8
木剑,木剑,8
招之,招之,4
高招,高招,4
祖师爷,祖师爷,4
周泽楷,周泽楷,24
双薪,双薪,4
杜绝,杜绝,16
饶绕岸,饶绕岸,4
向岩,向岩,4
闻声,闻声,20
但岩,但岩,8
从岩,从岩,8
和岩,和岩,12
寻思,寻思,4
乌龟,乌龟,4
但宵云,但宵云,4
连珠,连珠,4
小鱼儿,小鱼儿,4
利剑,利剑,16
张开,张开,20
陈玉辉,陈玉辉,4
小三角,小三角,4
连贯,连贯,8
太清,太清,8
王希杰,王希杰,76
邓复升,邓复升,52
梁方,梁方,236
刘小别,刘小别,160
李济,李济,48
蓝武,蓝武,8
蓝紫,蓝紫,4
楚云秀,楚云秀,12
小圈子,小圈子,4
比一比,比一比,4
真够傻,真够傻,4
云秀,云秀,4
文明,文明,4
阴冷,阴冷,4
刘浩,刘浩,12
拉进来,拉进来,4
蓝集阁,蓝集阁,4
扬剑,扬剑,8
丰几人,丰几人,4
小树林,小树林,4
宁静,宁静,24
堵墙,堵墙,12
王泽,王泽,32
方锋然,方锋然,32
张家兴,张家兴,12
申建,申建,20
宝贝,宝贝,4
云归,云归,8
齐声,齐声,56
沙蚕,沙蚕,12
陈国,陈国,12
叶锋,叶锋,4
但盾,但盾,4
张新杰,张新杰,20
冷清,冷清,4
赛恩,赛恩,4
蔚蓝,蔚蓝,8
海扁,海扁,12
之森,之森,28
真如飞,真如飞,4
小森,小森,4
卡有,卡有,4
白净,白净,4
钱塞,钱塞,4
唐果,唐果,4
远高于,远高于,8
李亦辉,李亦辉,8
齐飞,齐飞,4
林天仪,林天仪,332
苏唐,苏唐,256
许唯风,许唯风,104
刚一柔,刚一柔,4
贺礼,贺礼,4
唐乔,唐乔,4
红白,红白,4
白狼,白狼,28
车前草,车前草,8
温馨,温馨,4
闻言,闻言,4
冷青,冷青,168
阴奉阳,阴奉阳,4
吕征,吕征,88
卫天启,卫天启,28
青铜剑,青铜剑,4
布满,布满,4
史诗,史诗,8
来格森,来格森,4
千松尺,千松尺,20
仁慈,仁慈,4
云淡风,云淡风,4
那波,那波,4
唐三人,唐三人,4
神武印,神武印,44
天醒,天醒,4
但天醒,但天醒,4
铁三角,铁三角,4
格森,格森,4
乌云,乌云,4
沙沙声,沙沙声,8
林中飞,林中飞,4
了影分,了影分,4
卡怪,卡怪,12
安全性,安全性,4
卡成,卡成,8
英杰,英杰,12
满屏,满屏,8
卜白,卜白,4
白白,白白,8
付清,付清,4
白狼牙,白狼牙,8
别往岩,别往岩,4
子一闪,子一闪,4
九奈,九奈,4
康师傅,康师傅,4
养老,养老,4
古老,古老,8
小姑娘,小姑娘,12
王朝后,王朝后,4
玄虚,玄虚,4
白送,白送,12
闻明,闻明,4
王大眼,王大眼,16
后君,后君,4
之杰希,之杰希,4
武侠,武侠,4
高高挂,高高挂,4
朽木,朽木,4
白帅帅,白帅帅,4
乔一,乔一,4
连冲,连冲,4
包围住,包围住,4
连修,连修,4
雪亮,雪亮,8
周折,周折,4
盛猛,盛猛,4
高超,高超,4
盛武,盛武,4
新一波,新一波,4
白花花,白花花,4
张卡朝,张卡朝,4
凌厉,凌厉,4
齐向,齐向,4
聂让,聂让,28
斯文人,斯文人,4
太新嫩,太新嫩,4
小花招,小花招,4
却宁,却宁,4
叶冉,叶冉,4
马甲,马甲,8
范围广,范围广,4
韦斯,韦斯,8
冉卡,冉卡,4
蓝膑,蓝膑,4
唐桑,唐桑,4
白沙,白沙,16
红塔山,红塔山,4
黄鹤楼,黄鹤楼,4
左冲右,左冲右,4
连唐,连唐,4
田九,田九,16
唐昊,唐昊,36
林敬言,林敬言,16
宛若,宛若,4
白归白,白归白,4
花心思,花心思,4
莫笑,莫笑,12
黄少友,黄少友,4
龚之剑,龚之剑,4
子飞,子飞,4
卓一帆,卓一帆,16
蓝天,蓝天,4
黄少一,黄少一,4
盖章,盖章,8
玄武,玄武,20
武印,武印,4
小妞,小妞,12
塞进去,塞进去,4
加神武,加神武,4
唐人,唐人,4
呼啸声,呼啸声,4
齐赞,齐赞,4
明堂,明堂,4
玄奥,玄奥,4
宁死,宁死,4
武光剑,武光剑,4
扬后,扬后,4
小老鼠,小老鼠,4
苗子,苗子,8
夜辉,夜辉,4
花加,花加,4
亚葛,亚葛,20
连帽衫,连帽衫,4
映亮,映亮,4
西晃,西晃,4
越往后,越往后,4
那密银,那密银,8
熊掌,熊掌,4
孤峰,孤峰,4
向侧面,向侧面,4
吕大人,吕大人,4
张罗人,张罗人,4
乐章,乐章,4
张口,张口,12
由翔哥,由翔哥,4
王朝,王朝,8
哈哈笑,哈哈笑,4
金山,金山,4
黄金档,黄金档,4
殷子,殷子,4
丁蓝,丁蓝,4
梁子,梁子,4
王座,王座,4
灵光,灵光,4
关怀,关怀,8
卡得,卡得,4
那也好,那也好,4
高中生,高中生,4
边笑边,边笑边,4
白羊座,白羊座,4
苏沫橙,苏沫橙,36
太猛,太猛,8
加农,加农,4
双飞,双飞,4
那哥,那哥,8
太马虎,太马虎,8
探雷,探雷,4
张大嘴,张大嘴,4
大将军,大将军,4
查户口,查户口,4
云云,云云,8
喻文州,喻文州,296
又被我,又被我,4
顾客,顾客,4
唐小姐,唐小姐,24
游龙,游龙,4
白吃,白吃,4
静静,静静,8
张佳乐,张佳乐,28
双放,双放,4
陈夜,陈夜,4
巴结,巴结,8
单章,单章,12
双章,双章,4
敬爱,敬爱,4
段子,段子,4
天亮,天亮,4
顾问团,顾问团,4
张益玮,张益玮,12
李博,李博,12
明青,明青,4
小九九,小九九,4
花大,花大,4
林林,林林,4
田野,田野,4
麦子,麦子,4
胡闹,胡闹,4
连沉玉,连沉玉,8
玉叶,玉叶,4
比沉玉,比沉玉,4
苏醒,苏醒,4
苏沐桧,苏沐桧,16
长得帅,长得帅,4
杨姐,杨姐,4
宋词,宋词,8
子致,子致,4
托孤,托孤,4
燕氏,燕氏,4
英才,英才,4
柏英,柏英,4
别信,别信,4
许诺,许诺,4
不出什,不出什,4
寒霜,寒霜,4
牛修,牛修,4
紫太刀,紫太刀,4
希杰,希杰,4
空旷,空旷,12
别介意,别介意,4
马屁拍,马屁拍,4
老东家,老东家,4
小山坡,小山坡,4
东澈,东澈,4
比橙武,比橙武,4
木有木,木有木,4
阴笑,阴笑,4
雅图,雅图,4
谢后,谢后,4
太贵,太贵,4
成正比,成正比,4
梁芳,梁芳,4
连冠,连冠,8
小丑,小丑,4
许兄,许兄,4
明赞,明赞,4
那可真,那可真,8
易容术,易容术,4
都宁,都宁,4
王道,王道,4
苏井橙,苏井橙,4
明显化,明显化,4
阿红,阿红,8
道谢,道谢,8
余波,余波,8
大皇氏,大皇氏,4
余韵,余韵,4
何干,何干,4
太迟,太迟,4
喻文洲,喻文洲,24
何曾,何曾,4
双紫蛋,双紫蛋,12
苏沐澄,苏沐澄,8
梅西,梅西,4
易老朝,易老朝,4
张卡,张卡,4
黄少队,黄少队,4
齐备,齐备,4
太潮,太潮,4
布皮锁,布皮锁,4
周末好,周末好,4
戴起,戴起,4
祝贺,祝贺,4
佩刀,佩刀,4
晓之,晓之,4
屈服于,屈服于,4
连三,连三,4
容知林,容知林,4
荆艮强,荆艮强,4
子炫纹,子炫纹,4
巴掌,巴掌,4
雷同,雷同,4
矫健,矫健,4
温顺,温顺,4
平笑笑,平笑笑,4
望向正,望向正,4
迟早会,迟早会,8
托亚操,托亚操,4
和枫烨,和枫烨,4
殷勤,殷勤,4
都是俱,都是俱,4
若远,若远,4
晓罗,晓罗,4
查明,查明,4
连贯性,连贯性,4
俞文洲,俞文洲,4
莫昊,莫昊,4
向沉玉,向沉玉,4
蓝布,蓝布,4
卡才,卡才,4
连橙,连橙,4
齐夸,齐夸,4
乐得嘴,乐得嘴,4
连接成,连接成,4
有俱,有俱,4
了什,了什,4
胡玩,胡玩,4
钟爱,钟爱,4
连超,连超,4
和托亚,和托亚,4
西红柿,西红柿,4
明星,明星,4
高达,高达,4
周晔柏,周晔柏,4
立剑,立剑,4
大老远,大老远,4
大忠粉,大忠粉,4
小强,小强,4
连紫,连紫,4
凤锤,凤锤,8
夜未英,夜未英,4
大赞,大赞,4
加粗,加粗,8
小剑,小剑,4
太高阶,太高阶,4
和云,和云,4
修文,修文,4
完刚,完刚,4
潘林烁,潘林烁,8
大比拼,大比拼,4
黄草,黄草,4
和云归,和云归,8
布娃娃,布娃娃,8
紫黑色,紫黑色,4
左掌,左掌,4
如云,如云,4
白儿,白儿,4
越六,越六,8
道德,道德,4
包里,包里,4
哥布森,哥布森,4
布森,布森,4
